link_text,url
NGN Market,https://www.ngnmarket.com/
Indices,https://www.ngnmarket.com/indices
Bonds,https://www.ngnmarket.com/bonds
Snapshot,https://www.ngnmarket.com/market-snapshot
Heatmap,https://www.ngnmarket.com/heatmap
Trending,https://www.ngnmarket.com/trending
Forex Rates,https://www.ngnmarket.com/forex
Blog,https://www.ngnmarket.com/blog
Sign in,https://www.ngnmarket.com/login
Create account,https://www.ngnmarket.com/signup
Twitter,https://twitter.com/ngnmarket
LinkedIn,https://www.linkedin.com/company/ngnmarket/
BuyMTNN,https://www.ngnmarket.com/how-to-buy
(no text),https://linkedin.com/company/ngnmarket
Tax Calculator,https://www.ngnmarket.com/tax-calculator
About,https://www.ngnmarket.com/about
Contact,https://www.ngnmarket.com/contact
Privacy Policy,https://www.ngnmarket.com/privacy
Terms of Service,https://www.ngnmarket.com/terms
